iter	Passed	Remaining
0	0	79
1	1	77
2	2	74
3	2	69
4	3	68
5	4	67
6	5	67
7	5	66
8	6	65
9	7	64
10	7	63
11	8	63
12	9	62
13	10	61
14	10	60
15	11	60
16	12	59
17	12	58
18	13	58
19	14	57
20	14	56
21	15	55
22	16	55
23	17	54
24	17	53
25	18	53
26	19	52
27	20	51
28	20	50
29	21	50
30	22	49
31	22	48
32	23	47
33	24	47
34	25	46
35	25	46
36	26	45
37	27	44
38	28	43
39	28	43
40	29	42
41	29	41
42	30	40
43	31	39
44	31	38
45	32	38
46	33	37
47	33	36
48	34	36
49	35	35
50	36	34
51	36	33
52	37	33
53	38	32
54	38	31
55	39	30
56	40	30
57	40	29
58	41	28
59	42	28
60	42	27
61	43	26
62	44	25
63	45	25
64	45	24
65	46	23
66	47	23
67	47	22
68	48	21
69	49	21
70	49	20
71	50	19
72	51	19
73	52	18
74	52	17
75	53	16
76	54	16
77	54	15
78	55	14
79	56	14
80	56	13
81	57	12
82	58	11
83	58	11
84	59	10
85	60	9
86	61	9
87	61	8
88	62	7
89	63	7
90	63	6
91	64	5
92	65	4
93	65	4
94	66	3
95	67	2
96	68	2
97	68	1
98	69	0
99	70	0
